#{"t_start": 1754090419.815753, "env_id": "None"}
r,l,t
10.0,25,11.69054
-103.680016,25,11.69054
0.0,25,11.830737
0.0,25,11.830737
0.0,25,11.830737
-20.488443,25,11.830737
0.0,25,11.955323
0.0,25,11.955323
0.0,25,11.955323
-19.010767,25,11.955323
0.0,25,12.080434
0.0,25,12.080434
0.0,25,12.080434
0.0,25,12.080434
0.0,25,12.205044
0.0,25,12.205044
0.0,25,12.205044
-34.790745,25,12.205044
30.0,25,12.33021
30.0,25,12.33021
30.0,25,12.33021
-34.537518,25,12.33021
0.0,25,12.442994
0.0,25,12.442994
0.0,25,12.442994
-15.074631,25,12.442994
0.0,25,12.606071
0.0,25,12.606071
0.0,25,12.606071
-67.495804,25,12.606071
40.0,25,12.75036
40.0,25,12.75036
40.0,25,12.75036
-62.011925,25,12.75036
0.0,25,12.875239
0.0,25,12.877252
0.0,25,12.877252
0.0,25,12.877252
0.0,25,13.003484
0.0,25,13.003484
0.0,25,13.003484
0.0,25,13.003484
0.0,25,13.118128
0.0,25,13.118128
0.0,25,13.118128
-26.371292,25,13.118128
0.0,25,25.560039
0.0,25,25.560039
0.0,25,25.560039
-53.9878,25,25.560039
0.0,25,25.68807
0.0,25,25.690017
0.0,25,25.690017
0.0,25,25.690017
0.0,25,25.824424
0.0,25,25.824424
0.0,25,25.824424
-37.46183,25,25.824424
0.0,25,25.935578
0.0,25,25.935578
0.0,25,25.935578
0.0,25,25.935578
0.0,25,26.092656
0.0,25,26.092656
0.0,25,26.092656
-12.309955,25,26.092656
0.0,25,26.218278
0.0,25,26.218278
0.0,25,26.218278
0.0,25,26.218278
0.0,25,26.364365
0.0,25,26.364917
0.0,25,26.364917
-7.761094,25,26.364917
0.0,25,26.528317
0.0,25,26.528317
0.0,25,26.530367
0.0,25,26.530367
0.0,25,26.694387
0.0,25,26.694387
0.0,25,26.694387
0.0,25,26.694387
0.0,25,26.874166
0.0,25,26.874166
0.0,25,26.874166
-24.42984,25,26.874166
0.0,25,27.050209
0.0,25,27.050209
0.0,25,27.050209
0.0,25,27.050209
0.0,25,27.220322
0.0,25,27.223008
0.0,25,27.223008
0.0,25,27.223008
0.0,25,27.459538
0.0,25,27.459538
0.0,25,27.459538
-1.3959355,25,27.460481
0.0,25,27.749336
0.0,25,27.749336
0.0,25,27.749336
-0.7137941,25,27.749336
20.0,25,27.964178
20.0,25,27.964178
20.0,25,27.964178
-20.595,25,27.965193
0.0,25,28.330426
0.0,25,28.330426
0.0,25,28.330426
0.0,25,28.330426
0.0,25,28.573103
0.0,25,28.573103
0.0,25,28.573103
-34.187748,25,28.573103
0.0,25,28.917006
0.0,25,28.917006
0.0,25,28.917006
-1.8193973,25,28.917006
0.0,25,29.180366
0.0,25,29.180366
0.0,25,29.180366
0.0,25,29.180366
0.0,25,29.382349
0.0,25,29.382349
0.0,25,29.382349
-0.69337404,25,29.382349
0.0,25,29.552709
0.0,25,29.552709
0.0,25,29.552709
-12.107733,25,29.552709
0.0,25,29.700092
0.0,25,29.700092
0.0,25,29.700092
0.0,25,29.700092
0.0,25,29.826406
0.0,25,29.826406
0.0,25,29.826406
0.0,25,29.826406
0.0,25,30.021698
0.0,25,30.021698
0.0,25,30.021698
0.0,25,30.021698
0.0,25,30.158463
0.0,25,30.158463
0.0,25,30.158463
0.0,25,30.158463
20.0,25,30.353098
20.0,25,30.353098
20.0,25,30.353098
-20.0,25,30.353098
0.0,25,30.57275
0.0,25,30.57275
0.0,25,30.57275
-2.8022623,25,30.57275
0.0,25,30.770101
0.0,25,30.770101
0.0,25,30.770101
0.0,25,30.770101
0.0,25,30.92828
0.0,25,30.92828
0.0,25,30.92828
0.0,25,30.92828
0.0,25,31.120017
0.0,25,31.120017
0.0,25,31.120017
-21.940704,25,31.120017
0.0,25,31.232968
0.0,25,31.232968
0.0,25,31.232968
-35.553432,25,31.232968
0.0,25,31.345064
